game_seq,genre_seq
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
20,2
21,1
22,1
23,1
23,2
23,3
24,1
24,4
25,1
26,1
26,2
27,5
28,1
29,1
30,1
31,1
32,5
32,3
33,5
33,3
34,5
34,3
35,5
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,6
44,3
45,6
46,1
46,6
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
61,5
61,6
62,1
62,5
62,6
63,1
64,1
65,7
65,5
66,7
66,5
67,5
67,6
68,1
69,1
70,1
71,1
72,1
73,1
74,8
74,3
75,1
76,1
76,5
76,3
77,1
78,3
79,3
80,1
80,8
80,3
81,8
81,3
82,8
82,3
83,1
83,8
84,3
85,3
86,3
87,9
88,9
89,1
90,9
91,3
92,6
92,3
93,3
94,4
94,7
95,1
96,7
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,7
119,3
120,7
121,7
122,3
123,7
124,7
125,1
125,7
126,1
127,1
128,3
129,1
130,1
131,1
132,1
133,1
134,3
135,3
136,6
137,3
138,3
139,3
140,5
140,8
141,7
141,3
141,5
142,9
143,9
144,1
144,5
145,6
146,8
146,3
147,6
148,1
148,6
149,1
149,3
150,1
150,3
151,1
151,3
152,3
153,3
154,3
155,1
156,3
157,3
158,3
159,3
160,3
161,3
162,3
163,3
164,7
164,5
165,1
165,5
165,3
166,1
167,4
168,1
169,1
170,4
171,1
172,1
172,4
172,9
172,8
172,3
173,1
174,1
174,5
175,3
176,3
177,9
178,1
178,3
179,9
180,4
180,6
181,1
181,4
181,6
182,1
182,2
182,10
183,1
183,3
184,5
184,8
184,3
185,1
185,4
186,1
187,7
187,5
188,1
189,1
190,3
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
200,4
201,1
202,1
203,6
204,9
205,4
206,4
207,6
208,7
208,5
209,1
209,4
209,6
210,6
211,3
212,3
213,3
214,3
215,3
216,3
217,1
217,6
218,3
219,3
220,3
221,1
222,3
223,9
224,1
225,1
226,1
226,4
227,36
228,36
229,1
230,1
231,1
231,4
232,1
232,3
233,1
233,4
234,7
235,4
236,7
237,1
237,2
237,10
237,6
237,3
238,9
239,9
240,9
240,8
240,12
241,3
242,1
243,1
244,6
244,3
245,6
245,3
246,3
247,5
248,1
248,6
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,3
257,1
257,3
258,3
259,3
260,3
261,1
262,1
263,1
263,4
263,5
264,1
265,36
266,1
267,1
267,4
268,8
268,3
269,2
269,10
269,6
270,2
270,10
270,6
271,1
271,4
272,4
273,1
274,7
275,1
276,4
277,4
278,1
278,7
279,1
280,12
281,1
281,4
282,1
283,1
284,4
285,4
286,8
287,8
288,6
288,3
289,1
290,3
291,12
292,1
293,9
294,4
294,6
295,4
295,7
296,4
297,4
298,4
299,4
299,7
300,4
300,6
301,1
302,7
302,5
302,9
303,1
303,5
303,3
304,8
304,3
305,8
305,3
306,1
306,7
306,5
307,1
307,5
308,5
309,4
309,5
310,36
311,6
312,3
313,1
314,3
315,8
316,1
317,1
318,1
319,1
320,1
321,1
321,4
322,1
322,4
323,1
324,6
324,7
324,4
325,1
325,6
326,1
327,4
328,9
329,1
330,3
331,7
332,4
333,4
334,3
335,3
336,3
337,7
338,3
339,9
340,1
340,4
340,3
341,7
342,8
343,36
344,36
345,9
346,9
347,6
348,8
349,8
349,12
350,6
351,6
352,1
352,4
353,6
354,1
355,5
356,7
356,5
357,1
358,1
359,1
360,1
361,1
362,1
362,4
363,1
364,1
364,4
365,1
366,1
367,1
368,1
369,1
369,4
370,1
371,1
372,1
373,1
373,4
374,1
374,4
375,1
376,1
376,4
377,8
378,3
379,1
380,8
381,8
382,8
383,1
384,1
385,8
386,3
387,3
388,1
389,3
389,5
390,7
390,5
391,1
391,5
391,12
392,1
392,5
392,12
393,3
394,4
395,4
396,1
396,4
396,3
397,1
397,4
397,3
398,5
398,7
399,7
400,7
401,7
402,7
403,7
404,7
405,7
406,7
407,7
408,7
409,7
410,7
410,8
411,7
411,8
412,7
412,8
413,7
413,8
414,7
414,8
415,5
415,7
416,1
417,7
417,5
418,5
418,9
418,12
419,5
419,9
419,12
420,1
420,4
421,1
422,1
423,3
424,1
424,5
424,8
424,13
425,3
425,8
426,3
426,8
427,6
427,3
428,3
429,1
430,1
430,4
430,7
430,6
430,8
430,3
431,1
431,4
432,8
433,6
434,1
434,6
435,1
435,4
436,3
437,1
437,7
437,2
437,5
438,1
438,2
438,5
439,1
439,2
439,5
