genre_seq,genre_name
1,Action
2,Free to Play
3,Strategy
4,Adventure
5,Indie
6,RPG
7,Casual
8,Simulation
9,Racing
10,Massively Multiplayer
11,None
12,Sports
13,Early Access
14,Violent
15,Gore
16,Movie
17,Nudity
18,Sexual Content
19,Audio Production
20,Education
21,Software Training
22,Utilities
23,Design & Illustration
24,Action Games
25,Animation & Modeling
26,Web Publishing
27,Accounting
28,Video Production
29,Game Development
30,Photo Editing
31,Documentary
32,Episodic
33,Short
34,Tutorial
35,360 V
36,No Data
